"title","description","dataStream.name","dataStream.description","dataStream.observationType","dataStream.unitOfTruth","dataStream.unitOfCategory","observation.projectObservationUID","observation.resultTruthObservation.phenomenonTime","observation.resultTruthObservation.resultTime","observation.resultTruthObservation.result","observation.resultTruthObservation.submitTime","observation.resultCategoryObservation.phenomenonTime","observation.resultCategoryObservation.resultTime","observation.resultCategoryObservation.result","observation.resultCategoryObservation.submitTime","observation.image.imageStatus","observation.context.parameters","omProcess.license.licenseName","omProcess.license.licenseAttributionSource","omProcess.license.licenseAttributionAggregator","omProcess.processReference","omProcess.resultQuality.validationStatus","omProcess.resultQuality.validationMethod","omProcess.resultQuality.validationResult","omProcess.resultQuality.qualityGrade","omProcess_resultQuality_assessment","observedProperty.name","observedProperty.description","observedProperty.definition","sensor.name","sensor.description","sensor.encodingType","location.name","location.description","location.encodingType","location.locationDetails.mobileProperties.latitude","location.locationDetails.mobileProperties.longitude","thing.name","thing.description","featureOfInterest.name","featureOfInterest.description","featureOfInterest.encodingType","featureOfInterest.location","informationWithheld"
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","0c9472e1-9c8a-4a86-bb66-6d563237ea52-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","0c9472e1-9c8a-4a86-bb66-6d563237ea52","2018-04-25T19:23:20","2018-04-25T19:23:20","true","2018-04-25T19:23:20","2018-04-25T19:23:20","2018-04-25T19:23:20","Aedes albopictus","2018-04-25T19:23:20","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","0c9472e1-9c8a-4a86-bb66-6d563237ea52","Observation taken by user: 0c9472e1-9c8a-4a86-bb66-6d563237ea52","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","36.59549","-4.638589","0c9472e1-9c8a-4a86-bb66-6d563237ea52","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","0fc785f6-b600-4347-885f-21a7b1d1bc1a-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","0fc785f6-b600-4347-885f-21a7b1d1bc1a","2018-04-21T19:18:22","2018-04-21T19:18:22","true","2018-04-21T19:18:22","2018-04-21T19:18:22","2018-04-21T19:18:22","Aedes albopictus","2018-04-21T19:18:22","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","0fc785f6-b600-4347-885f-21a7b1d1bc1a","Observation taken by user: 0fc785f6-b600-4347-885f-21a7b1d1bc1a","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","39.534748","-0.480343","0fc785f6-b600-4347-885f-21a7b1d1bc1a","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","33820BEF-F104-413D-8F33-F64C8D5A7747-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","33820BEF-F104-413D-8F33-F64C8D5A7747","2018-04-28T19:03:00","2018-04-28T19:03:00","true","2018-04-28T19:03:00","2018-04-28T19:03:00","2018-04-28T19:03:00","Aedes albopictus","2018-04-28T19:03:00","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","33820BEF-F104-413D-8F33-F64C8D5A7747","Observation taken by user: 33820BEF-F104-413D-8F33-F64C8D5A7747","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","41.619873","2.538929","33820BEF-F104-413D-8F33-F64C8D5A7747","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","4728ff9d-89df-442b-8cab-d57c968cb4e0-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","4728ff9d-89df-442b-8cab-d57c968cb4e0","2018-04-14T20:04:29","2018-04-14T20:04:29","true","2018-04-14T20:04:29","2018-04-14T20:04:29","2018-04-14T20:04:29","Aedes albopictus","2018-04-14T20:04:29","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","4728ff9d-89df-442b-8cab-d57c968cb4e0","Observation taken by user: 4728ff9d-89df-442b-8cab-d57c968cb4e0","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","36.528393","-4.897564","4728ff9d-89df-442b-8cab-d57c968cb4e0","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","5ba9b694-6149-429b-951b-ae5ed3ef25d3-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","5ba9b694-6149-429b-951b-ae5ed3ef25d3","2018-04-26T19:06:24","2018-04-26T19:06:24","true","2018-04-26T19:06:24","2018-04-26T19:06:24","2018-04-26T19:06:24","Aedes albopictus","2018-04-26T19:06:24","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","5ba9b694-6149-429b-951b-ae5ed3ef25d3","Observation taken by user: 5ba9b694-6149-429b-951b-ae5ed3ef25d3","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","36.658184","-4.569553","5ba9b694-6149-429b-951b-ae5ed3ef25d3","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","728CCB66-1517-45BE-B5F6-3E4968B48F38-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","728CCB66-1517-45BE-B5F6-3E4968B48F38","2018-04-24T10:18:01","2018-04-24T10:18:01","true","2018-04-24T10:18:01","2018-04-24T10:18:01","2018-04-24T10:18:01","Aedes albopictus","2018-04-24T10:18:01","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","728CCB66-1517-45BE-B5F6-3E4968B48F38","Observation taken by user: 728CCB66-1517-45BE-B5F6-3E4968B48F38","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","41.398163","2.160327","728CCB66-1517-45BE-B5F6-3E4968B48F38","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","79c03966-63ed-4d53-9eca-966dad65bceb-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","79c03966-63ed-4d53-9eca-966dad65bceb","2018-04-15T13:04:28","2018-04-15T13:04:28","true","2018-04-15T13:04:28","2018-04-15T13:04:28","2018-04-15T13:04:28","Aedes albopictus","2018-04-15T13:04:28","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","79c03966-63ed-4d53-9eca-966dad65bceb","Observation taken by user: 79c03966-63ed-4d53-9eca-966dad65bceb","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","39.427048","-0.488521","79c03966-63ed-4d53-9eca-966dad65bceb","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","782705D8-9757-4BCD-B0FC-805D2694C004-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","782705D8-9757-4BCD-B0FC-805D2694C004","2018-04-28T19:16:13","2018-04-28T19:16:13","true","2018-04-28T19:16:13","2018-04-28T19:16:13","2018-04-28T19:16:13","Aedes albopictus","2018-04-28T19:16:13","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","782705D8-9757-4BCD-B0FC-805D2694C004","Observation taken by user: 782705D8-9757-4BCD-B0FC-805D2694C004","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","41.709381","2.725112","782705D8-9757-4BCD-B0FC-805D2694C004","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","8665d247-d361-45c1-ac73-7c89fcabd265-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","8665d247-d361-45c1-ac73-7c89fcabd265","2018-04-26T14:27:04","2018-04-26T14:27:04","true","2018-04-26T14:27:04","2018-04-26T14:27:04","2018-04-26T14:27:04","Aedes albopictus","2018-04-26T14:27:04","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","8665d247-d361-45c1-ac73-7c89fcabd265","Observation taken by user: 8665d247-d361-45c1-ac73-7c89fcabd265","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","41.422703","2.143685","8665d247-d361-45c1-ac73-7c89fcabd265","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
"Mosquito Alert: Insect Populations (Mosquitos)","Data from the Mosquito Alert Project pulled from GBIF","8b22ff76-951a-4814-855e-0ff8e79d3a74-species occurrence","All species occurrence observations from a particular user taken with a sensor or manually","category observation | truth observation","{""name"":""truth observation"" | ""description"": ""whether a tiger mosquito is present""}","{""name"":""category observation"" | ""description"": ""scientific name""}","8b22ff76-951a-4814-855e-0ff8e79d3a74","2018-04-27T19:56:24","2018-04-27T19:56:24","true","2018-04-27T19:56:24","2018-04-27T19:56:24","2018-04-27T19:56:24","Aedes albopictus","2018-04-27T19:56:24","true","Adult","http://creativecommons.org/publicdomain/zero/1.0/legalcode","This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.","Mosquito Alert, Escobar A, Oltra A (2018). Mosquito Alert: Tiger Mosquito Dataset. Version 1.6. CREAF - Centre de Recerca Ecològica i Aplicacions Forestals. Occurrence dataset https://doi.org/10.15470/t5a1os accessed via GBIF.org on 2020-08-11.","For information on sampling methods, go to http://www.mosquitoalert.com","true","The dataset includes reports from anonymous Mosquito Alert citizen scientists  tagged by them as 'adult mosquito', that contain at least one picture and that it has been evaluated by entomological experts. According to these experts, the picture/s of this observation could be tiger mosquito (Aedes albopictus): their taxonomic features can be clearly seen in the picture/s, especially the white stripe on head and thorax (confirmed; see dynamicProperties field); or only some characteristic features can be observed, but it could be this species nonetheless (probable; see dynamicProperties field). For more information, go to www.mosquitoalert.com","true","research","Identification data removed to enable anonymity based on User Preference","species occurrence","whether a species is observed at a location","https://www.sciencedirect.com/topics/earth-and-planetary-sciences/species-occurrence","8b22ff76-951a-4814-855e-0ff8e79d3a74","Observation taken by user: 8b22ff76-951a-4814-855e-0ff8e79d3a74","varies","varies","Latitude and longitude of report location in decimal degrees. Mosquito Alert anonymous citizen scientists select, via the Mosquito Alert app, the location on a map, or use GPS and other Smartphone services to record their current location at the time of the observation. Accuracy or precision of the coordinates cannot be specified for each particular case, because it depends on many factors (each participant's device, specific day of recording, network coverage, GPS availability, etc.).","GeoJSON Point","39.538776","2.715591","8b22ff76-951a-4814-855e-0ff8e79d3a74","UID of expert validator","location.name","location.description","GeoJSON Point","location.locationDetails.mobileProperties.latitude|location.locationDetails.mobileProperties.longitude","This dataset is a simplified version of the original one. We have removed non-biological information, information that could compromise citizen scientists’ privacy and some redundant information."
